Actual,Major Damage,Manhole,Minor Damage,Normal Road,Speed Breaker
Major Damage,273,0,35,1,1
Manhole,2,81,0,1,0
Minor Damage,31,0,165,22,3
Normal Road,0,0,13,186,1
Speed Breaker,2,0,1,0,139
