Actual,Major Damage,Manhole,Minor Damage,Normal Road,Speed Breaker
Major Damage,287,0,22,0,1
Manhole,0,84,0,0,0
Minor Damage,24,0,183,13,1
Normal Road,0,0,20,180,0
Speed Breaker,1,0,0,0,141
