Actual,Major Damage,Manhole,Minor Damage,Normal Road,Speed Breaker
Major Damage,277,0,28,1,4
Manhole,2,80,1,0,1
Minor Damage,42,0,157,20,2
Normal Road,0,0,14,186,0
Speed Breaker,7,0,5,1,129
