True \ Predicted,Major Damage,Manhole,Minor Damage,Normal Road,Speed Breaker
Major Damage,268.3,2,35,1,3.7
Manhole,3.7,79.3,0.7,0.3,0
Minor Damage,28.7,0.3,169.7,21.3,1
Normal Road,2,0,16,181.7,0.3
Speed Breaker,3.7,0.3,6,0,131.7
